<IANSI>,<FPEEL>,<EPSCU2>,<IOXIDHT>,<FAOX>,<FFRICR>,<FFRICX>,<FWHL>,<FAOUT>,<TCLMAX>,<FZORUP>,<LMCOL0>,<FCRDR>,<FGPOOL>,<FMOVE>,<VFCRCO>,<FACT>,<FGBYPA>,<XLFALS>,<FZGAPTOPLH>,<HTFB>,<ECM>,<IKCMOXIDE>,<HTSTAG>,<SCALH>,<TJBRN>,<TAUTO>,<FPRAT>,<FVPREV>,<FCSIVP>,<FCSHVP>,<FCS2MOO4>,<XGAPLH>,<FQUEN>,<EDG_OPERATE>,<EDG_FAIL>,<POWER_RECOV>,<AFW_RATE>,<WVSP>,<ECREPP>,<FHTPB>,<WWTDFW>,<IVI_FP_VOLRATE>,<DPRESS_DELAY>,<WPORV0>,<IVI_DELAY>,<ABBN>,<SPRAY_RATE>,<IVI_RATE>
4,0.1,0.2002839,0,1.679028,0.6384574000000001,0.365537,0.1471193,0.3812543,2382.237,0.5353028000000001,50,0.1532574,0.7087051,2.169039,0.32351440000000004,0.7937907,0,0.05345302,0.5586565,287.0951,0.7876819,0,1604.286,1.033233,1487.4579999999999,880.5497,-5,1.848957,1.564555,0.1,0.6940778000000001,0.000136047,0.46784090000000006,86.45387,8.793242999999999,56.850530000000006,39.02921,0.31015490000000007,0.02446963,0.9940177,41.043409999999994,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
6,0.1,0.19018729999999998,0,1.149979,0.2022929,0.2608844,0.08328221,0.3426772,2384.321,0.5906931,52,0.1623777,0.8107878000000001,1.207641,0.3496767,0.7279945999999999,1,0.04806478,0.4485981,201.4735,0.8234079,1,1015.1469999999999,0.9695954,1224.646,960.8359,-4,1.101774,3.1907419999999997,1.0,0.721332,0.000154017,0.6403704000000001,54.97903,7.108511999999999,69.33572,31.85683,0.2684758,0.2663165,0.3383372,29.35495,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
2,1.0,0.07317265,0,1.6522430000000001,0.328533,0.4052574,0.1003981,0.36268720000000004,2397.887,0.7225868000000001,52,0.02410934,0.7510273000000001,2.414469,0.2567837,0.434274,0,0.02306406,0.4923763,301.5437,0.8178934,1,2254.187,1.109801,1458.6170000000002,1136.046,-4,0.14654379999999997,2.46513,0.01,0.6948475000000001,0.000254657,0.6972181,58.220380000000006,10.594439999999999,64.85027,35.78839,0.22616889999999998,0.05499437,0.7173944,37.4856,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
4,1.0,0.20523720000000004,2,1.3141559999999999,0.4768291,0.2921548,0.167126,0.3239667,2351.549,0.8567421000000001,51,0.09986404,0.6453416000000001,2.8179279999999998,0.30211079999999996,0.3790905,1,0.0456829,0.4061788,251.5952,0.9188006999999999,0,1028.953,1.001967,1339.7079999999999,900.2833,-6,1.2248629999999998,3.0597779999999997,0.01,0.6972982,0.000191525,0.47578729999999997,47.09997,5.9032919999999995,37.84357,46.5268,0.165205,0.44613420000000004,0.6376102,44.97276,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
6,0.01,0.1004728,1,1.17035,0.2595944,0.30799840000000006,0.1356894,0.47206629999999994,2353.319,0.3072896,53,0.06836144,0.9985544,1.953207,0.42808909999999994,0.6362083000000001,1,0.07426962,0.6631835,349.5178,0.8668866,0,480.6772,0.9996844000000001,1234.683,988.1398,-4,1.063841,0.759134,0.1,0.7301380000000001,3.97e-06,0.5514026999999999,40.7349,9.452538,72.12905,32.199259999999995,0.34101929999999997,0.6305845,0.5628583,48.217079999999996,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
3,0.1,0.1209134,1,1.475702,0.6667614000000001,0.2905485,0.1619007,0.20473029999999998,2557.894,0.49878249999999996,54,0.1343511,0.7156149,2.753572,0.2984791,0.21995820000000002,1,0.01501096,0.5460459,306.8443,0.8187833000000001,1,1354.4879999999998,1.0104899999999999,1398.164,869.8911,-4,1.0095120000000002,2.583081,1.0,0.6793526,0.00010804,0.2945224,65.3253,8.86457,55.69619,34.87657,0.24096990000000001,0.002115273,0.8655212999999999,30.521959999999996,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
4,1.0,0.19277750000000002,2,1.331753,0.43709790000000004,0.3341341,0.08090352,0.3193377,2526.792,0.6996855,53,0.07846308,0.7283021,3.461676,0.4548244000000001,0.2242968,1,0.01616893,0.537971,383.154,0.8276899,0,1884.4129999999998,1.1118649999999999,1355.1529999999998,948.293,-4,1.487694,1.7845650000000002,0.1,0.7350753000000001,0.00017978,0.5050106,72.05471999999999,9.104167,63.74061999999999,33.95798,0.1340539,0.07764071,0.8468328000000002,43.09896,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
1,0.1,0.2367897,0,1.35186,0.35922990000000005,0.321036,0.124605,0.23307229999999998,2559.717,0.5284118,51,0.1932219,0.8915951999999999,2.478636,0.2362991,0.6074927,1,0.06257969,0.5251153000000001,331.9762,0.7963574000000001,0,1496.037,0.9130304,1207.5430000000001,1067.08,-5,1.16232,1.005456,0.1,0.7208948000000001,6.829999999999999e-05,0.4795137,63.87215,9.890028,29.89585,39.91348,0.2708165,0.6018816,0.24007470000000003,37.51225,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
1,0.1,0.11541480000000001,1,1.470869,0.40553629999999996,0.36904190000000003,0.1385175,0.4639812,2452.561,0.3239007,54,0.17179779999999997,0.7323134,4.169062,0.2317951,0.2532789,1,0.04268014,0.5238003999999999,184.5547,0.8807761999999999,0,713.5824,1.030938,1717.16,768.4763,-5,1.329717,1.611779,0.01,0.696658,0.000108157,0.5467966,78.24876,11.18183,61.210080000000005,29.95358,0.18379160000000003,0.7532678,0.7353258,43.96232,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
4,1.0,0.24935820000000003,0,1.394382,0.42530959999999995,0.2740058,0.11923299999999999,0.4070281,2309.5429999999997,0.6377187,52,0.06102568,0.7019005,2.212053,0.29382470000000005,0.5935059,0,0.04242072,0.39682059999999997,283.3915,0.7550952,1,1245.553,1.045896,1318.016,862.5388,-5,0.4660486,2.790563,1.0,0.7017291,0.000132378,0.5292600000000001,68.65862,10.85896,49.586420000000004,32.78593,0.3302757,0.2556593,0.6583289999999999,43.88377,0.02351667,1800,6.26,7200,0,0.2208,0.02351667
